2025-10-21 19:43:14.833 - RealTimeSTT: realtimestt - INFO - Starting RealTimeSTT
2025-10-21 19:43:14.858 - RealTimeSTT: realtimestt - INFO - Initializing faster_whisper realtime transcription model tiny.en, default device: cpu, compute type: default, device index: 0, download root: None
2025-10-21 19:43:24.505 - RealTimeSTT: realtimestt - DEBUG - Faster_whisper realtime speech to text transcription model initialized successfully
2025-10-21 19:43:24.506 - RealTimeSTT: realtimestt - INFO - Initializing WebRTC voice with Sensitivity 2
2025-10-21 19:43:24.507 - RealTimeSTT: realtimestt - DEBUG - WebRTC VAD voice activity detection engine initialized successfully
2025-10-21 19:43:28.101 - RealTimeSTT: realtimestt - DEBUG - Silero VAD voice activity detection engine initialized successfully
2025-10-21 19:43:28.106 - RealTimeSTT: realtimestt - DEBUG - Starting realtime worker
2025-10-21 19:43:28.107 - RealTimeSTT: realtimestt - DEBUG - Waiting for main transcription model to start
2025-10-21 19:55:40.097 - RealTimeSTT: realtimestt - DEBUG - Main transcription model ready
2025-10-21 19:55:40.102 - RealTimeSTT: realtimestt - DEBUG - RealtimeSTT initialization completed successfully
2025-10-21 19:55:40.104 - RealTimeSTT: realtimestt - INFO - Setting listen time
2025-10-21 19:55:40.104 - RealTimeSTT: realtimestt - INFO - State changed from 'inactive' to 'listening'
2025-10-21 19:55:40.105 - RealTimeSTT: realtimestt - DEBUG - Waiting for recording start
2025-10-21 20:13:06.779 - RealTimeSTT: realtimestt - INFO - Starting RealTimeSTT
2025-10-21 20:13:06.807 - RealTimeSTT: realtimestt - INFO - Initializing faster_whisper realtime transcription model tiny.en, default device: cpu, compute type: default, device index: 0, download root: None
2025-10-21 20:13:12.415 - RealTimeSTT: realtimestt - DEBUG - Faster_whisper realtime speech to text transcription model initialized successfully
2025-10-21 20:13:12.416 - RealTimeSTT: realtimestt - INFO - Initializing WebRTC voice with Sensitivity 2
2025-10-21 20:13:12.416 - RealTimeSTT: realtimestt - DEBUG - WebRTC VAD voice activity detection engine initialized successfully
2025-10-21 20:13:14.031 - RealTimeSTT: realtimestt - DEBUG - Silero VAD voice activity detection engine initialized successfully
2025-10-21 20:13:14.034 - RealTimeSTT: realtimestt - DEBUG - Starting realtime worker
2025-10-21 20:13:14.034 - RealTimeSTT: realtimestt - DEBUG - Waiting for main transcription model to start
2025-10-21 20:14:27.263 - RealTimeSTT: realtimestt - DEBUG - Main transcription model ready
2025-10-21 20:14:27.265 - RealTimeSTT: realtimestt - DEBUG - RealtimeSTT initialization completed successfully
2025-10-21 20:14:27.267 - RealTimeSTT: realtimestt - INFO - Setting listen time
2025-10-21 20:14:27.267 - RealTimeSTT: realtimestt - INFO - State changed from 'inactive' to 'listening'
2025-10-21 20:14:27.267 - RealTimeSTT: realtimestt - DEBUG - Waiting for recording start
2025-10-21 20:18:38.010 - RealTimeSTT: realtimestt - INFO - Starting RealTimeSTT
2025-10-21 20:18:38.050 - RealTimeSTT: realtimestt - INFO - Initializing faster_whisper realtime transcription model tiny.en, default device: cpu, compute type: default, device index: 0, download root: None
2025-10-21 20:18:45.395 - RealTimeSTT: realtimestt - DEBUG - Faster_whisper realtime speech to text transcription model initialized successfully
2025-10-21 20:18:45.395 - RealTimeSTT: realtimestt - INFO - Initializing WebRTC voice with Sensitivity 2
2025-10-21 20:18:45.396 - RealTimeSTT: realtimestt - DEBUG - WebRTC VAD voice activity detection engine initialized successfully
2025-10-21 20:18:47.777 - RealTimeSTT: realtimestt - DEBUG - Silero VAD voice activity detection engine initialized successfully
2025-10-21 20:18:47.782 - RealTimeSTT: realtimestt - DEBUG - Starting realtime worker
2025-10-21 20:18:47.782 - RealTimeSTT: realtimestt - DEBUG - Waiting for main transcription model to start
2025-10-21 20:20:20.552 - RealTimeSTT: realtimestt - DEBUG - Receive from stdout pipe
2025-10-21 20:20:20.555 - RealTimeSTT: realtimestt - INFO - None
2025-10-21 20:21:59.736 - RealTimeSTT: realtimestt - DEBUG - Main transcription model ready
2025-10-21 20:21:59.740 - RealTimeSTT: realtimestt - DEBUG - RealtimeSTT initialization completed successfully
2025-10-21 20:21:59.742 - RealTimeSTT: realtimestt - INFO - Setting listen time
2025-10-21 20:21:59.742 - RealTimeSTT: realtimestt - INFO - State changed from 'inactive' to 'listening'
2025-10-21 20:21:59.743 - RealTimeSTT: realtimestt - DEBUG - Waiting for recording start
2025-10-21 20:41:39.981 - RealTimeSTT: realtimestt - INFO - voice activity detected
2025-10-21 20:41:39.982 - RealTimeSTT: realtimestt - INFO - recording started
2025-10-21 20:41:39.982 - RealTimeSTT: realtimestt - INFO - State changed from 'listening' to 'recording'
2025-10-21 20:41:39.983 - RealTimeSTT: realtimestt - DEBUG - Waiting for recording stop
2025-10-21 20:41:39.989 - RealTimeSTT: realtimestt - DEBUG - Current realtime buffer size: 15872
2025-10-21 20:41:41.656 - RealTimeSTT: realtimestt - INFO - recording stopped
2025-10-21 20:41:41.720 - RealTimeSTT: realtimestt - DEBUG - No samples removed, final audio length: 42496
2025-10-21 20:41:41.721 - RealTimeSTT: realtimestt - INFO - State changed from 'recording' to 'inactive'
2025-10-21 20:41:41.726 - RealTimeSTT: realtimestt - INFO - State changed from 'inactive' to 'transcribing'
2025-10-21 20:41:41.728 - RealTimeSTT: realtimestt - DEBUG - Adding transcription request, no early transcription started
2025-10-21 20:41:41.765 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:41.871 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:41.986 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:42.098 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:42.222 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:42.325 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:42.435 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:42.549 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:42.655 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:42.768 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:42.879 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:42.986 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:43.104 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:43.218 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:43.328 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:43.440 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:43.548 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:43.659 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:43.764 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:43.870 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:43.981 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:44.089 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:44.201 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:44.310 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:44.416 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:44.527 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:44.635 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:44.744 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:44.856 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:44.966 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:45.078 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:45.197 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
2025-10-21 20:41:45.313 - RealTimeSTT: realtimestt - DEBUG - Receive from parent_transcription_pipe after sendiung transcription request, transcribe_count: 1
